datetime,sleep_hours,night_duty,training_intensity,camping,temperature,risk_score,risk_level
2025-05-21 03:19,6,False,low,True,26.1,2,✅ 양호
2025-05-21 09:19,7,False,medium,True,34.1,4,⚠️ 주의
2025-05-21 15:19,6,False,low,False,31.7,1,✅ 양호
2025-05-21 21:19,8,True,low,False,28.5,1,✅ 양호
2025-05-22 03:19,6,False,high,False,25.3,2,✅ 양호
2025-05-22 09:19,7,False,high,True,34.0,5,⚠️ 주의
2025-05-22 15:19,7,True,medium,False,27.0,2,✅ 양호
2025-05-22 21:19,4,False,medium,False,34.3,4,⚠️ 주의
2025-05-23 03:19,7,True,low,False,31.7,2,✅ 양호
2025-05-23 09:19,7,False,low,True,25.6,2,✅ 양호
2025-05-23 15:19,4,False,high,True,26.6,6,⚠️ 주의
2025-05-23 21:19,7,False,low,True,25.5,2,✅ 양호
2025-05-24 03:19,8,False,low,False,25.2,0,✅ 양호
2025-05-24 09:19,4,False,low,True,29.5,4,⚠️ 주의
2025-05-24 15:19,8,False,low,True,25.6,2,✅ 양호
2025-05-24 21:19,8,True,medium,False,29.9,2,✅ 양호
2025-05-25 03:19,4,True,medium,False,36.1,6,⚠️ 주의
2025-05-25 09:19,7,True,high,False,25.3,3,✅ 양호
2025-05-25 15:19,5,False,medium,True,33.4,5,⚠️ 주의
2025-05-25 21:19,3,True,high,True,37.2,9,🔥 매우 위험
2025-05-26 03:19,5,True,low,False,36.8,4,⚠️ 주의
2025-05-26 09:19,6,True,low,False,26.3,1,✅ 양호
2025-05-26 15:19,4,True,high,False,33.9,6,⚠️ 주의
2025-05-26 21:19,3,False,low,False,33.9,3,✅ 양호
2025-05-27 03:19,8,False,high,True,31.4,5,⚠️ 주의
2025-05-27 09:19,4,True,medium,True,37.2,8,🔥 매우 위험
2025-05-27 15:19,6,True,low,True,28.7,3,✅ 양호
2025-05-27 21:19,4,True,low,False,35.5,5,⚠️ 주의
2025-05-28 03:19,3,True,medium,True,35.1,8,🔥 매우 위험
2025-05-28 09:19,8,False,low,False,30.6,1,✅ 양호
